ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
CH0010645932;GIVN;GIVAUDAN SA;Spezialitäten-Chemie;Chemie;Schweiz ;02.08.2024;CHF;4197;1.72;eher positive;45.65;4621.04;-64;142;20.46%;niedrig;positiv;tark überbewertet;negativ;0.57%;STOXX600;28.1;18.60%;22%;16%;36%;12%;1;positiv;6915;893;13%;1.75;40%;62.14%;18.06%;617
NO0010582521;GJF;GJENSIDIGE FORSIKRING;Universalversicherungen;Versicherungen;Norwegen;02.08.2024;NOK;180.7;5.23;neutral;8.38;198;-35;172;-3.63%;mittel;negativ;stark unterbewertet;negativ;-3.57%;STOXX600;13.6;15.60%;18%;15%;16%;25%;1;neutral;39789;4132;10%;0.06;4%;27.28%;NULL;4125
IE0000669501;GLB;GLANBIA;Nahrungsmittel;Nahrungsmittel & Getränke;Irland;02.08.2024;EUR;18.1;2.23;eher positive;5.2;20.19;-83;187;21.40%;niedrig;positiv;leicht unterbewertet;positiv;1.41%;STOXX600;11.9;9.90%;17%;8%;54%;49%;4;neutral;5018;322;6%;1.68;16%;140.52%;9.15%;90
GB00BN7SWP63;GSK;GLAXOSMITHKLINE;Pharmaka;Gesundheitswesen;Grossbritannien ;02.08.2024;GBp;1562.5;3.92;positive;79.34;1770.45;-63;196;7.74%;niedrig;positiv;leicht unterbewertet;negativ;6.48%;STOXX600;7.3;8.40%;37%;26%;23%;23%;3;positiv;30328;4928;16%;0.88;26%;51.40%;25.64%;2247
JE00B4T3BW64;GLEN;GLENCORE;Minen;Rohstoffe;Grossbritannien ;02.08.2024;GBp;405.05;3.2;neutral;64.46;474.25;29;232;-14.20%;mittel;negativ;stark unterbewertet;negativ;-10.57%;STOXX600;10.3;8.50%;10%;5%;35%;59%;1;negativ;175361;3443;2%;1.22;17%;180.47%;4.71%;5189
DK0010272632;GN;GN STORE NORD;Medizinische Geräte;Gesundheitswesen;Dänemark;02.08.2024;DKK;169.85;0;eher negative;3.78;152.16;111;230;-1.14%;hoch;negativ;leicht unterbewertet;negativ;-8.24%;STOXX600;11.7;20.90%;2%;7%;31%;38%;1;positiv;18178;228;1%;0.65;12%;59.32%;9.00%;32
IE00B00MZ448;GFTU;GRAFTON GROUP PLC;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Grossbritannien ;02.08.2024;GBp;1017;3.6;eher positive;2.7;1121.97;11;178;11.62%;mittel;negativ;stark unterbewertet;positiv;12.78%;STOXX600;12.5;10.00%;9%;9%;59%;88%;3;neutral;2319;149;6%;2.46;20%;82.64%;11.84%;73
GB00B63QSB39;GRG;GREGGS PLC.;Restaurants & Bars;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;3078;2.35;neutral;4.08;3193.43;-22;176;18.29%;mittel;negativ;fairer Preis;positiv;14.32%;STOXX600;19.4;14.40%;27%;10%;47%;20%;3;negativ;1810;143;8%;1.09;24%;159.23%;14.78%;61
ES0171996087;GRF;GRIFOLS SA;Biotechnologie;Gesundheitswesen;Spanien;02.08.2024;EUR;8.86;0;eher negative;6.11;7.74;131;497;-42.65%;hoch;negativ;leicht unterbewertet;negativ;13.94%;STOXX600;8.5;26.80%;1%;12%;27%;89%;2;positiv;6592;59;1%;2.79;43%;30.73%;7.60%;0
FR0011726835;GTT;GTT;Transportwesen;Industrie;Frankreich;02.08.2024;EUR;130.4;5.74;eher positive;5.43;145.92;-64;223;8.76%;niedrig;positiv;leicht unterbewertet;positiv;8.57%;STOXX600;12.4;14.50%;60%;54%;55%;8%;4;negativ;428;201;47%;1.93;1%;69.39%;49.56%;126
SE0000106270;HMB;H&M HENNES & MAURITZ AB;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Schweden ;02.08.2024;SEK;160.45;4.62;eher negative;24.92;144.28;74;265;-9.16%;hoch;positiv;stark unterbewertet;negativ;-0.08%;STOXX600;14.5;16.90%;18%;6%;26%;20%;2;negativ;236035;8752;4%;1.19;35%;130.21%;13.43%;10577
GB00BMX86B70;HLN;HALEON;Pharmaka;Gesundheitswesen;Grossbritannien ;02.08.2024;GBP;367.8;1.81;neutral;41.67;381.59;-47;231;14.35%;mittel;negativ;fairer Preis;positiv;16.57%;STOXX600;17.6;12.40%;6%;23%;49%;56%;3;positiv;11302;1049;9%;1.04;26%;33.19%;12.02%;388
GB0004052071;HLMA;HALMA;Verbraucherelektronik;Industrie;Grossbritannien ;02.08.2024;GBp;2527;0.94;neutral;12.57;2312.01;-1;143;10.64%;mittel;positiv;leicht überbewertet;positiv;-3.10%;STOXX600;25.9;16.90%;15%;19%;58%;19%;2;negativ;2034;269;13%;2.45;26%;67.81%;18.41%;78
DE0008402215;HNR1;HANNOVER RUECK;Rückversicherungen;Versicherungen;Deutschland;02.08.2024;EUR;219.1;3.94;neutral;29.03;241.75;-47;232;1.29%;mittel;positiv;stark unterbewertet;negativ;-3.29%;STOXX600;10.3;9.70%;18%;9%;16%;39%;2;neutral;22091;1825;8%;-3.3;7%;34.01%;NULL;769
GB00B1VZ0M25;HL;HARGREAVES LANSDOWN;Vermögensverwalter;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;1100;4.21;eher positive;6.62;1220.34;-80;221;49.86%;niedrig;positiv;fairer Preis;positiv;0.60%;STOXX600;16.1;7.30%;46%;55%;55%;18%;3;neutral;735;324;44%;NULL;1%;57.17%;46.13%;190
GB0004161021;HAS;HAYS;Personalberater;Industrie;Grossbritannien ;02.08.2024;GBp;91.3;3.31;neutral;1.88;102.31;13;214;-16.39%;mittel;negativ;leicht unterbewertet;negativ;0.73%;STOXX600;15.9;23.30%;21%;3%;35%;41%;2;negativ;7583;138;2%;1.32;8%;398.28%;2.71%;165
DE0006047004;HEI;HEIDELBERG MATERIALS;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Deutschland;02.08.2024;EUR;89.68;3.7;neutral;18.58;102.61;26;207;10.80%;mittel;positiv;leicht unterbewertet;negativ;-3.00%;STOXX600;6.6;7.70%;11%;13%;47%;117%;2;neutral;21178;1929;9%;1.19;18%;58.26%;14.94%;484
NL0000009165;HEIA;HEINEKEN;Brauereien;Nahrungsmittel & Getränke;Holland;02.08.2024;EUR;81.38;2.3;neutral;49.88;91.83;-14;239;-11.49%;mittel;negativ;leicht unterbewertet;negativ;-6.28%;STOXX600;13.8;12.10%;11%;13%;36%;39%;1;neutral;30362;2304;8%;0.77;25%;53.85%;14.84%;1335
CH0466642201;HELN;HELVETIA HOLDING;Universalversicherungen;Versicherungen;Schweiz ;02.08.2024;CHF;128.5;5.34;neutral;7.95;135.08;-17;181;10.87%;mittel;positiv;leicht unterbewertet;positiv;8.23%;STOXX600;10.3;15.60%;8%;5%;6%;46%;4;neutral;10463;277;3%;0.07;4%;17.29%;4.04%;318
SE0015671995;HEM;HEMNET GROUP;Internet;Technologie;Schweden ;02.08.2024;SEK;381;0.6;eher positive;3.47;406.5;-145;221;60.90%;niedrig;positiv;fairer Preis;positiv;18.43%;STOXX600;33.2;36.20%;27%;45%;58%;6%;4;negativ;1005;339;34%;1.32;25%;46.60%;40.65%;98
DE0006048432;HEN;HENKEL PREFERENCE;Verbrauchsgüter;Privat- & Haushaltswaren;Deutschland;02.08.2024;EUR;77.34;2.58;neutral;34.84;84.78;-38;207;6.15%;mittel;negativ;leicht unterbewertet;negativ;-3.95%;STOXX600;12.6;10.60%;7%;12%;63%;168%;1;negativ;21514;1317;6%;1.19;7%;67.81%;9.38%;771
IT0001250932;HER;HERA;Multiversorger;Versorger;Italien;02.08.2024;EUR;3.29;4.49;neutral;5.22;3.62;-27;198;10.83%;mittel;negativ;stark unterbewertet;negativ;5.82%;STOXX600;11.3;5.80%;13%;6%;23%;80%;2;positiv;14897;441;3%;1.11;27%;97.84%;6.45%;239
FR0000052292;RMS;HERMES INTERNATIONAL;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Frankreich;02.08.2024;EUR;1960.5;0.95;eher negative;227.9;1858.53;51;131;2.17%;mittel;negativ;leicht überbewertet;negativ;-4.18%;STOXX600;36.9;23.90%;28%;43%;74%;8%;0;negativ;13427;4310;32%;4.4;9%;65.67%;37.85%;1376
SE0015961909;HEXAB;HEXAGON AB;Software;Technologie;Schweden ;02.08.2024;SEK;102.5;1.65;neutral;26.61;98.66;57;159;-15.25%;mittel;negativ;fairer Preis;negativ;-12.38%;STOXX600;17;13.00%;9%;23%;59%;36%;1;negativ;62380;9858;16%;0.89;18%;33.19%;NULL;3854
SE0007074281;HPOL;HEXPOL AB;Spezialitäten-Chemie;Chemie;Schweden ;02.08.2024;SEK;114.1;3.53;neutral;3.75;127.05;30;166;-6.48%;mittel;negativ;leicht unterbewertet;negativ;-0.75%;STOXX600;13.9;9.60%;17%;16%;65%;36%;1;positiv;22046;2524;11%;1.08;3%;97.95%;NULL;1244
GB00B0LCW083;HIK;HIKMA PHARMACEUTICALS;Pharmaka;Gesundheitswesen;Grossbritannien ;02.08.2024;GBp;1887;3.01;eher positive;5.37;2086.2;-33;234;5.48%;mittel;negativ;stark unterbewertet;negativ;4.83%;STOXX600;9.8;7.70%;9%;22%;47%;44%;2;positiv;2313;153;7%;1.57;22%;63.00%;15.62%;110
BMG4593F1389;HSX;HISCOX PLC;Sachversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;1210;2.69;positive;5.37;1380.46;-51;216;14.80%;niedrig;positiv;stark unterbewertet;positiv;11.76%;STOXX600;7.2;6.20%;22%;15%;37%;71%;4;neutral;3673;573;16%;-1.03;7%;52.25%;17.28%;100
DE0006070006;HOT;HOCHTIEF;Anlagenbau;Baugewerbe & Werkstoffe;Deutschland;02.08.2024;EUR;105.6;4.88;eher positive;8.73;117.54;-39;282;5.28%;mittel;positiv;stark unterbewertet;positiv;1.34%;STOXX600;11.2;10.70%;42%;3%;6%;16%;4;neutral;27756;523;2%;1.11;25%;143.59%;3.03%;0
CH0012214059;HOLN;HOLCIM;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweiz ;02.08.2024;CHF;76.6;4.07;eher positive;54.31;87.69;-2;132;16.03%;mittel;positiv;stark unterbewertet;negativ;0.21%;STOXX600;10.7;10.00%;12%;20%;49%;70%;3;neutral;27009;3044;11%;1.44;22%;51.26%;18.59%;1414
SE0011090018;HOLMB;HOLMEN AB;Papierprodukte;Rohstoffe;Schweden ;02.08.2024;SEK;404.6;2.56;neutral;6.16;389.43;-13;164;-4.96%;mittel;negativ;fairer Preis;negativ;1.00%;STOXX600;18;12.60%;6%;19%;71%;117%;2;negativ;22795;3697;16%;1.63;3%;28.59%;22.18%;2592
GB0005576813;MFI;HOWDEN JOINERY;Möbel;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;885.5;2.54;neutral;6.5;979.31;28;163;8.84%;mittel;negativ;leicht unterbewertet;negativ;4.69%;STOXX600;15.2;12.30%;26%;15%;47%;22%;2;negativ;2311;255;11%;1.92;29%;111.94%;17.13%;114
GB0005405286;HSBA;HSBC HOLDINGS;Banken;Geldinstitute;Grossbritannien ;02.08.2024;GBp;636.3;8.81;neutral;155.17;709.73;-13;216;0.13%;mittel;negativ;leicht unterbewertet;negativ;-5.08%;STOXX600;6.3;4.70%;14%;30%;6%;107%;1;negativ;108929;18046;17%;1.43;4%;4.57%;19.13%;9811
DE000A1PHFF7;BOSS;HUGO BOSS AG;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Deutschland;02.08.2024;EUR;37.86;3.67;eher negative;2.89;34.18;123;254;-43.88%;hoch;negativ;stark unterbewertet;negativ;-7.02%;STOXX600;9.5;11.50%;20%;10%;37%;28%;1;negativ;4197;258;6%;1.64;27%;120.91%;14.39%;69
FI0009000459;HUH1V;HUHTAMAKI;Container & Verpackungen;Industrie;Finnland;02.08.2024;EUR;35.52;3.23;neutral;4.18;39.84;-26;197;-3.29%;mittel;positiv;stark unterbewertet;negativ;-3.18%;STOXX600;12.2;10.60%;11%;10%;39%;48%;2;negativ;4169;206;5%;1.6;30%;89.37%;10.19%;105
SE0001662230;HUSQB;HUSQVARNA AB;Haushaltsprodukte;Privat- & Haushaltswaren;Schweden ;02.08.2024;SEK;69;4.83;eher negative;3.79;65.55;120;205;-16.85%;hoch;negativ;leicht unterbewertet;negativ;-16.55%;STOXX600;11.2;13.80%;9%;7%;41%;62%;1;negativ;53261;2178;4%;1.45;17%;92.45%;NULL;1714
ES0177542018;IAG;IAG SA;Fluggesellschaften;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;167.45;4.49;neutral;9.99;185.57;47;257;8.03%;mittel;positiv;leicht unterbewertet;negativ;4.47%;STOXX600;3.6;3.80%;81%;14%;9%;37%;3;negativ;25616;2309;9%;0.63;37%;78.45%;16.02%;NULL
ES0144580Y14;IBE;IBERDROLA;Stromversorger;Versorger;Spanien;02.08.2024;EUR;12.35;4.83;eher positive;82.21;13.1;-35;174;4.04%;mittel;positiv;stark unterbewertet;positiv;3.91%;STOXX600;13.6;9.20%;11%;19%;28%;58%;4;positiv;49146;4803;10%;0.82;25%;31.67%;19.35%;949
GB00B06QFB75;IGG;IG GROUP HLDGS;Spezialfinanz;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;915.5;5.17;positive;4.39;975.01;-64;211;19.60%;niedrig;negativ;leicht unterbewertet;positiv;14.07%;STOXX600;8.7;13.10%;16%;43%;64%;63%;3;neutral;1004;308;31%;NULL;11%;34.13%;NULL;178
NL0010801007;IMCD;IMCD GROUP;Spezialitäten-Chemie;Chemie;Holland;02.08.2024;EUR;140.25;1.66;neutral;8.11;124.89;21;213;-10.98%;mittel;negativ;leicht überbewertet;positiv;11.45%;STOXX600;19.9;13.20%;17%;10%;41%;19%;2;positiv;4443;292;7%;1.75;28%;106.50%;9.15%;135
GB00BGLP8L22;IMI;IMI;Industriemaschinen;Industrie;Grossbritannien ;02.08.2024;GBp;1755;1.82;neutral;6.07;1671.64;23;109;4.22%;mittel;positiv;leicht unterbewertet;negativ;1.76%;STOXX600;12.2;10.00%;23%;18%;42%;23%;3;negativ;2196;237;11%;1.5;25%;88.89%;16.47%;69
GB0004544929;IMB;IMPERIAL BRANDS;Tabak;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;2142;7.4;neutral;23.43;2222.33;-28;165;18.57%;mittel;positiv;leicht unterbewertet;positiv;8.91%;STOXX600;5.7;8.90%;39%;19%;20%;40%;4;negativ;18077;2328;13%;0.72;28%;61.30%;16.33%;1312
GB00B61TVQ02;INCH;INCHCAPE;Automobilteile & Zubehör;Automobile & Zubehör;Grossbritannien ;02.08.2024;GBp;833;4.22;neutral;4.51;767.44;47;179;16.42%;mittel;negativ;stark unterbewertet;positiv;13.99%;STOXX600;9;9.50%;18%;6%;21%;52%;3;negativ;11447;270;2%;1.06;14%;160.34%;3.70%;128
ES0148396007;ITX;INDITEX;Bekleidung;Einzel- & Grosshandel;Spanien;02.08.2024;EUR;43.78;4.08;neutral;151.35;48;-1;129;11.03%;mittel;positiv;leicht unterbewertet;negativ;-0.69%;STOXX600;18.8;14.20%;29%;20%;57%;15%;2;neutral;35947;5381;15%;1.79;13%;109.81%;23.03%;3735
GB00BN4HT335;INDV;INDIVIOR;Biotechnologie;Gesundheitswesen;Grossbritannien ;02.08.2024;GBp;1047;0;neutral;1.8;946.48;38;382;-11.65%;mittel;negativ;leicht unterbewertet;negativ;-10.99%;STOXX600;5.6;14.00%;-102%;-7%;3%;2%;1;positiv;731;-61;-8%;1.24;17%;57.01%;-5.99%;0
SE0001515552;I1M;INDUTRADE;Verbraucherelektronik;Industrie;Schweden ;02.08.2024;SEK;295.2;1.12;neutral;10.51;264.99;7;193;12.76%;mittel;positiv;leicht überbewertet;positiv;8.82%;STOXX600;25.6;18.80%;20%;15%;46%;15%;3;negativ;31835;2865;9%;1.99;26%;101.79%;NULL;946
CH0011029946;IFCN;INFICON;Industriemaschinen;Industrie;Schweiz ;02.08.2024;CHF;1218;1.83;neutral;3.68;1172.32;52;200;1.00%;mittel;positiv;leicht überbewertet;negativ;-8.93%;STOXX600;23.7;17.00%;33%;19%;65%;10%;1;negativ;605;95;16%;2.19;0%;138.47%;18.19%;43
DE0006231004;IFX;INFINEON TECHNOLOGIES;Halbleiter;Technologie;Deutschland;02.08.2024;EUR;29.53;1.26;eher negative;43.85;27.99;80;215;-21.88%;hoch;positiv;stark unterbewertet;negativ;-10.95%;STOXX600;11.1;14.20%;20%;27%;56%;39%;2;negativ;16309;3137;19%;1.89;21%;57.35%;29.99%;417
GB00BMJ6DW54;INF;INFORMA;Verlagswesen;Medien;Grossbritannien ;02.08.2024;GBp;833.8;2.58;neutral;14.42;899.65;-4;105;6.73%;mittel;positiv;stark unterbewertet;negativ;2.68%;STOXX600;13.3;12.30%;6%;18%;59%;63%;3;neutral;3190;419;13%;0.59;15%;27.68%;25.48%;177
IT0005090300;INW;INFRASTRUTTURE WIRELESS;Telekommunikationsausrüstung;Technologie;Italien;02.08.2024;EUR;10.37;5.17;neutral;10.66;10.79;-14;160;-9.43%;mittel;negativ;stark unterbewertet;positiv;9.68%;STOXX600;21.1;16.70%;8%;53%;46%;40%;3;negativ;960;339;35%;0.39;41%;10.27%;73.41%;336
NL0011821202;INGA;ING GROEP;Banken;Geldinstitute;Holland;02.08.2024;EUR;15.7;6.69;neutral;56.91;17.42;29;121;16.07%;mittel;positiv;leicht unterbewertet;negativ;-1.03%;STOXX600;6.6;6.80%;14%;46%;5%;115%;2;negativ;22576;7287;32%;0.25;17%;2.31%;NULL;NULL
LU2290522684;INPST;INPOST;Transportwesen;Industrie;Holland;02.08.2024;EUR;15.05;0;neutral;8.49;17.37;33;203;20.26%;mittel;positiv;leicht unterbewertet;negativ;-5.45%;STOXX600;15;27.90%;48%;15%;13%;5%;2;negativ;1947;143;7%;0.94;60%;85.45%;20.23%;0
GB00BHJYC057;IHG;INTERCONTINENTAL;Hotels;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;7366;1.94;neutral;15.56;8359.13;-27;168;3.89%;mittel;negativ;leicht unterbewertet;negativ;-7.26%;STOXX600;16.9;15.50%;39%;24%;-41%;-13%;1;negativ;3720;603;16%;0.97;62%;98.53%;17.67%;197
GB00BYT1DJ19;ICP;INTERMEDIATE CAPITAL;Spezialfinanz;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;1980;4.53;neutral;7.77;2295.05;47;157;17.82%;mittel;negativ;stark unterbewertet;negativ;-6.28%;STOXX600;10;8.00%;21%;59%;25%;39%;1;neutral;982;473;48%;NULL;65%;10.76%;50.06%;223
GB00BDVZYZ77;RMG;INTERNATIONAL DISTRIBUTIONS;Transportdienstleistungen;Industrie;Grossbritannien ;02.08.2024;GBp;344.6;2.05;neutral;4.24;380.29;10;194;26.64%;mittel;positiv;leicht unterbewertet;positiv;9.11%;STOXX600;8.1;48.20%;2%;3%;39%;162%;4;negativ;12679;54;0%;1.03;26%;141.02%;4.39%;0
IT0001078911;IP;INTERPUMP GROUP;Industriemaschinen;Industrie;Italien;02.08.2024;EUR;37.42;0.93;eher negative;4.47;35.55;74;178;-20.16%;hoch;negativ;fairer Preis;negativ;-6.53%;STOXX600;13.3;10.10%;15%;18%;55%;36%;1;negativ;2240;274;12%;1.93;16%;69.05%;16.82%;35
GB0031638363;ITRK;INTERTEK GROUP;Dienstleister für Unternehmen;Industrie;Grossbritannien ;02.08.2024;GBp;4884;3.29;neutral;10.17;5196.94;-31;110;15.03%;mittel;negativ;leicht unterbewertet;positiv;5.55%;STOXX600;17.2;12.90%;22%;16%;37%;19%;3;negativ;3329;297;9%;1.09;30%;94.09%;15.23%;176
IT0000072618;ISP;INTESA SANPAOLO;Banken;Geldinstitute;Italien;02.08.2024;EUR;3.44;10.03;neutral;71.22;3.83;-3;230;30.30%;mittel;negativ;leicht unterbewertet;negativ;0.13%;STOXX600;6.8;5.80%;13%;48%;7%;132%;2;negativ;25168;8592;34%;1.97;10%;2.61%;NULL;NULL
GB00B17BBQ50;INVP;INVESTEC;Wertpapierdienstleistungen;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;582;6.62;eher positive;14.1;653.31;18;157;9.44%;mittel;positiv;leicht unterbewertet;positiv;3.95%;STOXX600;6;6.40%;18%;18%;9%;155%;4;neutral;4803;893;19%;0.76;12%;8.48%;19.65%;297
FR0010259150;IPN;IPSEN;Pharmaka;Gesundheitswesen;Frankreich;02.08.2024;EUR;104.1;1.18;neutral;9.22;117.43;18;210;-3.52%;mittel;negativ;leicht unterbewertet;negativ;-5.97%;STOXX600;9.3;8.80%;17%;20%;60%;43%;1;positiv;3128;644;21%;1.17;5%;49.46%;23.41%;100
FR0000073298;IPS;IPSOS;Medien-Agenturen;Medien;Frankreich;02.08.2024;EUR;56.1;3.22;neutral;2.66;63.67;-14;174;-1.15%;mittel;negativ;stark unterbewertet;negativ;-2.60%;STOXX600;9.8;8.00%;11%;14%;51%;58%;1;neutral;2390;160;7%;1.48;17%;86.82%;11.78%;59
DK0060542181;ISS;ISS;Dienstleister für Unternehmen;Industrie;Dänemark;02.08.2024;DKK;120.9;3.73;neutral;3.32;135.3;19;346;-6.24%;mittel;negativ;leicht unterbewertet;negativ;4.32%;STOXX600;6.7;11.60%;3%;4%;20%;41%;2;negativ;78681;279;0%;0.96;28%;161.84%;2.22%;390
IT0005211237;IG;ITALGAS;Gasversorger;Versorger;Italien;02.08.2024;EUR;4.96;7.68;neutral;4.28;5.21;-15;171;-4.29%;mittel;negativ;leicht unterbewertet;positiv;10.62%;STOXX600;8;6.00%;19%;28%;20%;54%;3;positiv;2564;440;17%;0.72;53%;23.02%;37.52%;270
GB0033986497;ITV;ITV PLC.;Medien und Unterhaltung;Medien;Grossbritannien ;02.08.2024;GBp;78.05;6.41;eher negative;4.02;69.89;70;205;23.34%;hoch;negativ;leicht unterbewertet;negativ;-0.43%;STOXX600;7.6;8.20%;12%;9%;43%;70%;2;neutral;3624;210;6%;1.5;20%;86.47%;9.46%;201
NL0015000LU4;IVG;IVECO GROUP;Gewerbefahrzeuge;Industrie;Italien;02.08.2024;EUR;8.66;4.68;neutral;3.41;11.02;-23;259;6.26%;mittel;positiv;leicht unterbewertet;negativ;-12.87%;STOXX600;3.4;14.00%;9%;5%;13%;109%;2;negativ;16206;218;1%;1.09;12%;88.15%;5.04%;0
GB00BM8Q5M07;JD.;JD SPORTS FASHION;Bekleidung;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;123.75;0.84;neutral;8.75;113.46;116;273;-25.43%;hoch;positiv;stark unterbewertet;positiv;7.79%;STOXX600;7.4;9.40%;22%;9%;31%;42%;4;neutral;10542;539;5%;1.52;26%;131.02%;11.41%;50
NL0014332678;JDEP;JDE PEETS NV;Nahrungsmittel;Nahrungsmittel & Getränke;Holland;02.08.2024;EUR;21.28;3.36;eher positive;10.97;22.34;-39;229;-12.64%;mittel;positiv;stark unterbewertet;positiv;15.32%;STOXX600;10.5;9.30%;3%;10%;48%;93%;4;neutral;8191;367;4%;0.82;23%;35.40%;12.27%;341
PTJMT0AE0001;JMT;JERONIMO MARTINS;Nahrungsmittel;Einzel- & Grosshandel;Portugal;02.08.2024;EUR;16.01;4.02;neutral;10.91;19.37;-9;205;-30.51%;mittel;negativ;stark unterbewertet;negativ;-12.96%;STOXX600;12.1;10.80%;27%;4%;20%;19%;1;neutral;30608;757;2%;0.6;22%;214.09%;5.42%;344
GB00BZ4BQC70;JMAT;JOHNSON MATTHEY;Spezialitäten-Chemie;Chemie;Grossbritannien ;02.08.2024;GBp;1592;4.9;neutral;3.7;1789.46;27;230;-6.22%;mittel;negativ;leicht unterbewertet;negativ;3.44%;STOXX600;8.7;10.20%;5%;3%;38%;72%;2;positiv;12843;108;1%;1.45;22%;202.70%;2.34%;141
CH0102484968;BAER;JULIUS BAER GRUPPE;Banken;Geldinstitute;Schweiz ;02.08.2024;CHF;46.73;5.76;neutral;10.89;54.15;53;264;-0.89%;mittel;negativ;leicht unterbewertet;negativ;-6.14%;STOXX600;7.8;20.10%;7%;11%;6%;64%;1;negativ;5826;454;8%;2.05;4%;6.02%;11.99%;536
NL0012015705;TKWY;JUST EAT TAKEAWAY;Nahrungsmittel;Einzel- & Grosshandel;Holland;02.08.2024;EUR;11.09;0;eher negative;2.76;9.51;118;304;-19.57%;hoch;negativ;tark überbewertet;negativ;3.24%;STOXX600;-30.4;14.60%;-32%;-8%;55%;206%;1;neutral;5167;-1846;-36%;1.5;21%;48.15%;-25.43%;0
DK0010307958;JYSK;JYSKE BANK;Banken;Geldinstitute;Dänemark;02.08.2024;DKK;528;4.67;neutral;5.07;583.53;-8;209;9.09%;mittel;negativ;stark unterbewertet;negativ;-0.65%;STOXX600;6.6;0.60%;13%;63%;5%;137%;2;negativ;29581;5741;19%;0.23;39%;3.79%;21.68%;500
DE000KSAG888;SDF;K + S;Spezialitäten-Chemie;Chemie;Deutschland;02.08.2024;EUR;11.78;0.85;neutral;2.32;13.12;40;233;-17.71%;mittel;negativ;stark unterbewertet;negativ;-3.81%;STOXX600;19.9;22.80%;3%;7%;66%;254%;1;positiv;3873;210;5%;2.14;2%;39.52%;16.98%;191
BE0003565737;KBC;KBC GROUP;Banken;Geldinstitute;Belgien;02.08.2024;EUR;65.16;7.14;neutral;31.4;72.42;-5;215;10.97%;mittel;negativ;leicht unterbewertet;negativ;0.96%;STOXX600;7.6;5.60%;15%;42%;6%;92%;2;negativ;26568;3338;13%;0.22;13%;7.66%;14.02%;1663
FI0009004824;KEMIRA;KEMIRA;Spezialitäten-Chemie;Chemie;Finnland;02.08.2024;EUR;20.12;3.66;neutral;3.41;23.1;-15;156;19.83%;mittel;negativ;stark unterbewertet;negativ;-10.04%;STOXX600;10.8;8.50%;12%;10%;48%;65%;1;positiv;3384;199;6%;1.34;18%;96.97%;NULL;95
FR0000121485;KER;KERING;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Frankreich;02.08.2024;EUR;272.4;3.34;eher negative;36.97;258.78;147;247;-31.73%;hoch;negativ;stark unterbewertet;negativ;-14.74%;STOXX600;14.8;12.80%;20%;24%;37%;31%;1;negativ;19566;2983;15%;1.38;35%;47.30%;24.56%;1712
IE0004906560;KRZ;KERRY GROUP PLC;Nahrungsmittel;Nahrungsmittel & Getränke;Irland;02.08.2024;EUR;87.65;1.53;neutral;15.88;79.11;-27;189;11.43%;mittel;positiv;fairer Preis;positiv;18.11%;STOXX600;15.2;13.00%;11%;12%;56%;47%;4;neutral;8020;728;9%;1.66;21%;68.59%;12.81%;191
FI0009000202;KESKOB;KESKO OYJ;Nahrungsmittel;Einzel- & Grosshandel;Finnland;02.08.2024;EUR;16.54;5.92;eher positive;7.23;18.34;16;173;-7.73%;mittel;negativ;stark unterbewertet;negativ;3.03%;STOXX600;13.2;9.10%;18%;6%;36%;57%;2;neutral;11784;496;4%;1.02;30%;151.96%;8.76%;430
